Date : 2021-05-25 18:36:16
Directory : c:\repos\hug-moms
Total : 364 files,  77055 codes, 638 comments, 4870 blanks, all 82563 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\repos\hug-moms\src\app\family-info\family-info.component.scss                             | SCSS         |         27 |          1 |          1 |         29 |
| c:\repos\hug-moms\src\app\family-info\family-info.component.ts                               | TypeScript   |        197 |          0 |         30 |        227 |
| c:\repos\hug-moms\src\app\grid-dialog\grid-dialog.component.html                             | HTML         |         18 |          0 |          3 |         21 |
| c:\repos\hug-moms\src\app\grid-dialog\grid-dialog.component.scss                             | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\grid-dialog\grid-dialog.component.ts                               | TypeScript   |         70 |          0 |         15 |         85 |
| c:\repos\hug-moms\src\app\helper-assignment\helper-assignment.component.html                 | HTML         |         12 |          0 |          5 |         17 |
| c:\repos\hug-moms\src\app\helper-assignment\helper-assignment.component.scss                 | SCSS         |         11 |          0 |          0 |         11 |
| c:\repos\hug-moms\src\app\helper-assignment\helper-assignment.component.ts                   | TypeScript   |         33 |          0 |          5 |         38 |
| c:\repos\hug-moms\src\app\helper-families\helper-families.component.html                     | HTML         |        265 |          0 |         39 |        304 |
| c:\repos\hug-moms\src\app\helper-families\helper-families.component.scss                     | SCSS         |         69 |          1 |          9 |         79 |
| c:\repos\hug-moms\src\app\helper-families\helper-families.component.ts                       | TypeScript   |        607 |          1 |         71 |        679 |
| c:\repos\hug-moms\src\app\helper-families\move-deliveries-helper.ts                          | TypeScript   |         47 |          0 |          8 |         55 |
| c:\repos\hug-moms\src\app\helper-gifts\HelperGifts.ts                                        | TypeScript   |        147 |          1 |         18 |        166 |
| c:\repos\hug-moms\src\app\helper-gifts\helper-gifts.component.html                           | HTML         |          1 |          0 |          1 |          2 |
| c:\repos\hug-moms\src\app\helper-gifts\helper-gifts.component.scss                           | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\helper-gifts\helper-gifts.component.ts                             | TypeScript   |         39 |          0 |          3 |         42 |
| c:\repos\hug-moms\src\app\helper-gifts\my-gifts-dialog.component.html                        | HTML         |         26 |          0 |          0 |         26 |
| c:\repos\hug-moms\src\app\helper-gifts\my-gifts-dialog.component.scss                        | SCSS         |         11 |          0 |          2 |         13 |
| c:\repos\hug-moms\src\app\helper-gifts\my-gifts-dialog.component.ts                          | TypeScript   |         63 |          0 |          7 |         70 |
| c:\repos\hug-moms\src\app\helpers\helpers.component.css                                      | CSS          |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\helpers\helpers.component.html                                     | HTML         |         16 |          0 |          3 |         19 |
| c:\repos\hug-moms\src\app\helpers\helpers.component.ts                                       | TypeScript   |        288 |          0 |         53 |        341 |
| c:\repos\hug-moms\src\app\helpers\helpers.ts                                                 | TypeScript   |        687 |          2 |        114 |        803 |
| c:\repos\hug-moms\src\app\import-from-excel\import-from-excel.component.html                 | HTML         |        242 |          0 |         39 |        281 |
| c:\repos\hug-moms\src\app\import-from-excel\import-from-excel.component.scss                 | SCSS         |         37 |          0 |          1 |         38 |
| c:\repos\hug-moms\src\app\import-from-excel\import-from-excel.component.ts                   | TypeScript   |      1,591 |         34 |        178 |      1,803 |
| c:\repos\hug-moms\src\app\import-gifts\import-from-excel.component.html                      | HTML         |          2 |          0 |          1 |          3 |
| c:\repos\hug-moms\src\app\import-gifts\import-from-excel.component.ts                        | TypeScript   |         60 |          2 |         10 |         72 |
| c:\repos\hug-moms\src\app\import-helpers-from-excel\import-helpers-from-excel.component.html | HTML         |        188 |          0 |         33 |        221 |
| c:\repos\hug-moms\src\app\import-helpers-from-excel\import-helpers-from-excel.component.scss | SCSS         |         22 |          0 |          0 |         22 |
| c:\repos\hug-moms\src\app\import-helpers-from-excel\import-helpers-from-excel.component.ts   | TypeScript   |        665 |          3 |        113 |        781 |
| c:\repos\hug-moms\src\app\in-route-follow-up\in-route-follow-up.component.html               | HTML         |         20 |          0 |          2 |         22 |
| c:\repos\hug-moms\src\app\in-route-follow-up\in-route-follow-up.component.scss               | SCSS         |          5 |          0 |          1 |          6 |
| c:\repos\hug-moms\src\app\in-route-follow-up\in-route-follow-up.component.ts                 | TypeScript   |        187 |          0 |         19 |        206 |
| c:\repos\hug-moms\src\app\in-route-follow-up\in-route-helpers.ts                             | TypeScript   |        218 |          0 |         18 |        236 |
| c:\repos\hug-moms\src\app\languages\donor.json                                               | JSON         |      3,343 |          0 |          0 |      3,343 |
| c:\repos\hug-moms\src\app\languages\donor.ts                                                 | TypeScript   |        836 |          0 |          0 |        836 |
| c:\repos\hug-moms\src\app\languages\en.json                                                  | JSON         |      3,629 |          0 |          0 |      3,629 |
| c:\repos\hug-moms\src\app\languages\en.ts                                                    | TypeScript   |        836 |          0 |          0 |        836 |
| c:\repos\hug-moms\src\app\languages\es.json                                                  | JSON         |      4,169 |          0 |          0 |      4,169 |
| c:\repos\hug-moms\src\app\languages\es.ts                                                    | TypeScript   |        836 |          0 |          0 |        836 |
| c:\repos\hug-moms\src\app\languages\italy.json                                               | JSON         |      4,169 |          0 |          0 |      4,169 |
| c:\repos\hug-moms\src\app\languages\italy.ts                                                 | TypeScript   |        836 |          0 |          0 |        836 |
| c:\repos\hug-moms\src\app\languages\soldier.json                                             | JSON         |      3,334 |          0 |          0 |      3,334 |
| c:\repos\hug-moms\src\app\languages\soldier.ts                                               | TypeScript   |        836 |          0 |          0 |        836 |
| c:\repos\hug-moms\src\app\login-from-sms\login-from-sms.component.html                       | HTML         |          3 |          0 |          1 |          4 |
| c:\repos\hug-moms\src\app\login-from-sms\login-from-sms.component.scss                       | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\login-from-sms\login-from-sms.component.ts                         | TypeScript   |         32 |          0 |         10 |         42 |
| c:\repos\hug-moms\src\app\manage\ApplicationImages.ts                                        | TypeScript   |         21 |          0 |          3 |         24 |
| c:\repos\hug-moms\src\app\manage\ApplicationSettings.ts                                      | TypeScript   |        478 |          0 |         54 |        532 |
| c:\repos\hug-moms\src\app\manage\distribution-centers.ts                                     | TypeScript   |        141 |          0 |         24 |        165 |
| c:\repos\hug-moms\src\app\manage\groups.ts                                                   | TypeScript   |         12 |          0 |          3 |         15 |
| c:\repos\hug-moms\src\app\manage\manage.component.html                                       | HTML         |        258 |          0 |         38 |        296 |
| c:\repos\hug-moms\src\app\manage\manage.component.scss                                       | SCSS         |         15 |          0 |          1 |         16 |
| c:\repos\hug-moms\src\app\manage\manage.component.ts                                         | TypeScript   |        596 |          0 |         68 |        664 |
| c:\repos\hug-moms\src\app\map\map.component.html                                             | HTML         |          1 |          0 |          1 |          2 |
| c:\repos\hug-moms\src\app\map\map.component.scss                                             | SCSS         |         13 |          0 |          0 |         13 |
| c:\repos\hug-moms\src\app\map\map.component.ts                                               | TypeScript   |        232 |          7 |         41 |        280 |
| c:\repos\hug-moms\src\app\merge-families\merge-families.component.html                       | HTML         |         38 |          0 |          2 |         40 |
| c:\repos\hug-moms\src\app\merge-families\merge-families.component.scss                       | SCSS         |         20 |          0 |          2 |         22 |
| c:\repos\hug-moms\src\app\merge-families\merge-families.component.ts                         | TypeScript   |        164 |          0 |         21 |        185 |
| c:\repos\hug-moms\src\app\mlt-families\mlt-families.component.html                           | HTML         |        238 |          0 |         30 |        268 |
| c:\repos\hug-moms\src\app\mlt-families\mlt-families.component.scss                           | SCSS         |         11 |          0 |          2 |         13 |
| c:\repos\hug-moms\src\app\mlt-families\mlt-families.component.ts                             | TypeScript   |        374 |          0 |         58 |        432 |
| c:\repos\hug-moms\src\app\model-shared\types.ts                                              | TypeScript   |        599 |         16 |         75 |        690 |
| c:\repos\hug-moms\src\app\my-families\my-families.component.html                             | HTML         |        102 |          0 |         15 |        117 |
| c:\repos\hug-moms\src\app\my-families\my-families.component.scss                             | SCSS         |         14 |          0 |          2 |         16 |
| c:\repos\hug-moms\src\app\my-families\my-families.component.ts                               | TypeScript   |        133 |          0 |         19 |        152 |
| c:\repos\hug-moms\src\app\my-families\user-families.ts                                       | TypeScript   |        201 |          0 |         30 |        231 |
| c:\repos\hug-moms\src\app\news\news-filter-service.ts                                        | TypeScript   |         46 |          0 |          4 |         50 |
| c:\repos\hug-moms\src\app\news\news.component.html                                           | HTML         |         56 |          0 |          8 |         64 |
| c:\repos\hug-moms\src\app\news\news.component.scss                                           | SCSS         |          9 |          0 |          2 |         11 |
| c:\repos\hug-moms\src\app\news\news.component.ts                                             | TypeScript   |        106 |          0 |         25 |        131 |
| c:\repos\hug-moms\src\app\news\test.ts                                                       | TypeScript   |          4 |          0 |          3 |          7 |
| c:\repos\hug-moms\src\app\overview\overview.component.html                                   | HTML         |         30 |          0 |          2 |         32 |
| c:\repos\hug-moms\src\app\overview\overview.component.scss                                   | SCSS         |         24 |          0 |          3 |         27 |
| c:\repos\hug-moms\src\app\overview\overview.component.ts                                     | TypeScript   |        266 |          0 |         33 |        299 |
| c:\repos\hug-moms\src\app\overview\transition-group.ts                                       | TypeScript   |         87 |          0 |         14 |        101 |
| c:\repos\hug-moms\src\app\playback\playback.component.html                                   | HTML         |         43 |          0 |          3 |         46 |
| c:\repos\hug-moms\src\app\playback\playback.component.scss                                   | SCSS         |          9 |          0 |          1 |         10 |
| c:\repos\hug-moms\src\app\playback\playback.component.ts                                     | TypeScript   |        251 |          0 |         46 |        297 |
| c:\repos\hug-moms\src\app\preview-family\preview-family.component.html                       | HTML         |          7 |          0 |          1 |          8 |
| c:\repos\hug-moms\src\app\preview-family\preview-family.component.scss                       | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\preview-family\preview-family.component.ts                         | TypeScript   |         25 |          0 |          9 |         34 |
| c:\repos\hug-moms\src\app\print-volunteers\print-volunteers.component.html                   | HTML         |         11 |          0 |          1 |         12 |
| c:\repos\hug-moms\src\app\print-volunteers\print-volunteers.component.scss                   | SCSS         |         13 |          0 |          2 |         15 |
| c:\repos\hug-moms\src\app\print-volunteers\print-volunteers.component.ts                     | TypeScript   |         47 |          0 |          6 |         53 |
| c:\repos\hug-moms\src\app\register-donor\register-donor.component.html                       | HTML         |         30 |          0 |          3 |         33 |
| c:\repos\hug-moms\src\app\register-donor\register-donor.component.scss                       | SCSS         |         22 |          0 |          2 |         24 |
| c:\repos\hug-moms\src\app\register-donor\register-donor.component.ts                         | TypeScript   |        228 |         24 |         33 |        285 |
| c:\repos\hug-moms\src\app\register-helper\register-helper.component.html                     | HTML         |         25 |          0 |          1 |         26 |
| c:\repos\hug-moms\src\app\register-helper\register-helper.component.scss                     | SCSS         |         17 |          0 |          2 |         19 |
| c:\repos\hug-moms\src\app\register-helper\register-helper.component.ts                       | TypeScript   |         57 |          0 |         12 |         69 |
| c:\repos\hug-moms\src\app\resgister-url\register-url.component.html                          | HTML         |          1 |          0 |          1 |          2 |
| c:\repos\hug-moms\src\app\resgister-url\register-url.component.scss                          | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\resgister-url\regsiter-url.component.ts                            | TypeScript   |         33 |          0 |          7 |         40 |
| c:\repos\hug-moms\src\app\resgister-url\regsiter-url.ts                                      | TypeScript   |         57 |          0 |         12 |         69 |
| c:\repos\hug-moms\src\app\select-company\select-company.component.html                       | HTML         |         18 |          0 |         10 |         28 |
| c:\repos\hug-moms\src\app\select-company\select-company.component.scss                       | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\select-company\select-company.component.ts                         | TypeScript   |         57 |          0 |         12 |         69 |
| c:\repos\hug-moms\src\app\select-family\select-family.component.html                         | HTML         |         49 |          0 |         11 |         60 |
| c:\repos\hug-moms\src\app\select-family\select-family.component.scss                         | SCSS         |         32 |          0 |          1 |         33 |
| c:\repos\hug-moms\src\app\select-family\select-family.component.ts                           | TypeScript   |        118 |          0 |         22 |        140 |
| c:\repos\hug-moms\src\app\select-helper\select-helper.component.html                         | HTML         |         43 |          0 |         11 |         54 |
| c:\repos\hug-moms\src\app\select-helper\select-helper.component.scss                         | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\select-helper\select-helper.component.ts                           | TypeScript   |        261 |          2 |         36 |        299 |
| c:\repos\hug-moms\src\app\select-list\select-list.component.html                             | HTML         |         24 |          0 |          3 |         27 |
| c:\repos\hug-moms\src\app\select-list\select-list.component.scss                             | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\select-list\select-list.component.ts                               | TypeScript   |         45 |          0 |          9 |         54 |
| c:\repos\hug-moms\src\app\select-popup\dialog.ts                                             | TypeScript   |        245 |          4 |         38 |        287 |
| c:\repos\hug-moms\src\app\select-popup\input-area\input-area.component.html                  | HTML         |         18 |          0 |          4 |         22 |
| c:\repos\hug-moms\src\app\select-popup\input-area\input-area.component.scss                  | SCSS         |          9 |          0 |          1 |         10 |
| c:\repos\hug-moms\src\app\select-popup\input-area\input-area.component.ts                    | TypeScript   |         62 |          0 |         11 |         73 |
| c:\repos\hug-moms\src\app\select-popup\yes-no-question\yes-no-question.component.html        | HTML         |         12 |          0 |          2 |         14 |
| c:\repos\hug-moms\src\app\select-popup\yes-no-question\yes-no-question.component.scss        | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\select-popup\yes-no-question\yes-no-question.component.ts          | TypeScript   |         56 |          0 |          4 |         60 |
| c:\repos\hug-moms\src\app\self-pickup\self-pickup.component.html                             | HTML         |         21 |          0 |          3 |         24 |
| c:\repos\hug-moms\src\app\self-pickup\self-pickup.component.scss                             | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\self-pickup\self-pickup.component.ts                               | TypeScript   |         75 |          0 |         15 |         90 |
| c:\repos\hug-moms\src\app\server\buildLanguages.ts                                           | TypeScript   |        167 |          1 |         27 |        195 |
| c:\repos\hug-moms\src\app\server\doSomething.ts                                              | TypeScript   |        133 |         11 |         39 |        183 |
| c:\repos\hug-moms\src\app\server\initSchema.ts                                               | TypeScript   |        373 |         24 |         49 |        446 |
| c:\repos\hug-moms\src\app\server\send-email.ts                                               | TypeScript   |         38 |          1 |          4 |         43 |
| c:\repos\hug-moms\src\app\server\server-event-authorize-action.ts                            | TypeScript   |          9 |          0 |          6 |         15 |
| c:\repos\hug-moms\src\app\server\server-events.ts                                            | TypeScript   |         40 |         52 |          8 |        100 |
| c:\repos\hug-moms\src\app\server\server.ts                                                   | TypeScript   |        162 |        115 |         26 |        303 |
| c:\repos\hug-moms\src\app\server\serverInit.ts                                               | TypeScript   |        225 |          1 |         51 |        277 |
| c:\repos\hug-moms\src\app\shared\googleApiHelpers.ts                                         | TypeScript   |        353 |          8 |         69 |        430 |
| c:\repos\hug-moms\src\app\shared\material.module.ts                                          | TypeScript   |         66 |          1 |         15 |         82 |
| c:\repos\hug-moms\src\app\shared\saveToExcel.ts                                              | TypeScript   |        119 |          0 |         29 |        148 |
| c:\repos\hug-moms\src\app\shared\test-helper.ts                                              | TypeScript   |         22 |          0 |          0 |         22 |
| c:\repos\hug-moms\src\app\shared\utils.ts                                                    | TypeScript   |         54 |          2 |         12 |         68 |
| c:\repos\hug-moms\src\app\shipment-assign-screen\shipment-assign-screen.component.html       | HTML         |         79 |          0 |          5 |         84 |
| c:\repos\hug-moms\src\app\shipment-assign-screen\shipment-assign-screen.component.scss       | SCSS         |          3 |          0 |          1 |          4 |
| c:\repos\hug-moms\src\app\shipment-assign-screen\shipment-assign-screen.component.ts         | TypeScript   |        333 |          4 |         42 |        379 |
| c:\repos\hug-moms\src\app\show-on-map\show-on-map.component.html                             | HTML         |          6 |          0 |          5 |         11 |
| c:\repos\hug-moms\src\app\show-on-map\show-on-map.component.scss                             | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\show-on-map\show-on-map.component.ts                               | TypeScript   |         50 |          0 |          9 |         59 |
| c:\repos\hug-moms\src\app\site-overview\site-overview.component.html                         | HTML         |         14 |          0 |          7 |         21 |
| c:\repos\hug-moms\src\app\site-overview\site-overview.component.scss                         | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\site-overview\site-overview.component.ts                           | TypeScript   |         20 |          0 |          4 |         24 |
| c:\repos\hug-moms\src\app\sites\sites.entity.ts                                              | TypeScript   |         44 |          0 |          3 |         47 |
| c:\repos\hug-moms\src\app\sites\sites.ts                                                     | TypeScript   |         94 |          1 |         20 |        115 |
| c:\repos\hug-moms\src\app\test-map\test-map.component.html                                   | HTML         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\test-map\test-map.component.scss                                   | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\test-map\test-map.component.ts                                     | TypeScript   |         13 |          0 |         16 |         29 |
| c:\repos\hug-moms\src\app\token-replacer\token-replacer.component.html                       | HTML         |          7 |          0 |          1 |          8 |
| c:\repos\hug-moms\src\app\token-replacer\token-replacer.component.scss                       | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\token-replacer\token-replacer.component.ts                         | TypeScript   |         30 |          0 |          7 |         37 |
| c:\repos\hug-moms\src\app\translate.ts                                                       | TypeScript   |        994 |          2 |         32 |      1,028 |
| c:\repos\hug-moms\src\app\update-comment\update-comment.component.html                       | HTML         |         45 |          0 |         17 |         62 |
| c:\repos\hug-moms\src\app\update-comment\update-comment.component.scss                       | SCSS         |         23 |          0 |          4 |         27 |
| c:\repos\hug-moms\src\app\update-comment\update-comment.component.ts                         | TypeScript   |         85 |          0 |         12 |         97 |
| c:\repos\hug-moms\src\app\update-family-dialog\update-family-dialog.component.html           | HTML         |        190 |          0 |         28 |        218 |
| c:\repos\hug-moms\src\app\update-family-dialog\update-family-dialog.component.scss           | SCSS         |         26 |          0 |          2 |         28 |
| c:\repos\hug-moms\src\app\update-family-dialog\update-family-dialog.component.ts             | TypeScript   |        347 |          0 |         42 |        389 |
| c:\repos\hug-moms\src\app\update-group-dialog\update-group-dialog.component.html             | HTML         |         25 |          0 |          9 |         34 |
| c:\repos\hug-moms\src\app\update-group-dialog\update-group-dialog.component.scss             | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\update-group-dialog\update-group-dialog.component.ts               | TypeScript   |         50 |          0 |         15 |         65 |
| c:\repos\hug-moms\src\app\users\login\login.component.html                                   | HTML         |         48 |          0 |          9 |         57 |
| c:\repos\hug-moms\src\app\users\login\login.component.scss                                   | SCSS         |          7 |          0 |          0 |          7 |
| c:\repos\hug-moms\src\app\users\login\login.component.ts                                     | TypeScript   |        182 |          0 |         30 |        212 |
| c:\repos\hug-moms\src\app\users\update-info\update-info.component.html                       | HTML         |         11 |          1 |          5 |         17 |
| c:\repos\hug-moms\src\app\users\update-info\update-info.component.scss                       | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\users\update-info\update-info.component.ts                         | TypeScript   |         69 |          2 |         22 |         93 |
| c:\repos\hug-moms\src\app\volunteer-cross-assign\volunteer-cross-assign.component.html       | HTML         |         79 |          3 |         11 |         93 |
| c:\repos\hug-moms\src\app\volunteer-cross-assign\volunteer-cross-assign.component.scss       | SCSS         |          3 |          0 |          1 |          4 |
| c:\repos\hug-moms\src\app\volunteer-cross-assign\volunteer-cross-assign.component.ts         | TypeScript   |        139 |          0 |         28 |        167 |
| c:\repos\hug-moms\src\app\weekly-report-mlt\weekly-report-mlt.component.html                 | HTML         |         64 |          0 |          4 |         68 |
| c:\repos\hug-moms\src\app\weekly-report-mlt\weekly-report-mlt.component.scss                 | SCSS         |          0 |          0 |          1 |          1 |
| c:\repos\hug-moms\src\app\weekly-report-mlt\weekly-report-mlt.component.ts                   | TypeScript   |        169 |          0 |         44 |        213 |
| c:\repos\hug-moms\src\assets\Google_Maps_icon.svg                                            | XML          |         34 |          0 |          0 |         34 |
| c:\repos\hug-moms\src\environments\environment.prod.ts                                       | TypeScript   |          3 |          0 |          4 |          7 |
| c:\repos\hug-moms\src\environments\environment.ts                                            | TypeScript   |          3 |         11 |          5 |         19 |
| c:\repos\hug-moms\src\index.html                                                             | HTML         |         53 |          6 |         12 |         71 |
| c:\repos\hug-moms\src\index_dev.html                                                         | HTML         |         52 |          5 |         14 |         71 |
| c:\repos\hug-moms\src\karma.conf.js                                                          | JavaScript   |         28 |          2 |          1 |         31 |
| c:\repos\hug-moms\src\main.ts                                                                | TypeScript   |         10 |          0 |          3 |         13 |
| c:\repos\hug-moms\src\polyfills.ts                                                           | TypeScript   |          1 |         55 |          8 |         64 |
| c:\repos\hug-moms\src\styles.scss                                                            | SCSS         |        337 |         34 |         39 |        410 |
| c:\repos\hug-moms\src\test.ts                                                                | TypeScript   |         13 |          4 |          4 |         21 |
| c:\repos\hug-moms\src\test1.server-test.ts                                                   | TypeScript   |        321 |          0 |         47 |        368 |
| c:\repos\hug-moms\src\tsconfig.app.json                                                      | JSON         |          8 |          4 |          1 |         13 |
| c:\repos\hug-moms\src\tsconfig.server-spec.json                                              | JSON         |         18 |          0 |          1 |         19 |
| c:\repos\hug-moms\src\tsconfig.spec.json                                                     | JSON         |         18 |          0 |          1 |         19 |
| c:\repos\hug-moms\src\tslint.json                                                            | JSON         |         17 |          0 |          1 |         18 |
| c:\repos\hug-moms\status.bat                                                                 | Batch        |         23 |          0 |          1 |         24 |
| c:\repos\hug-moms\todo.md                                                                    | Markdown     |         20 |          0 |          1 |         21 |
| c:\repos\hug-moms\tsconfig-direct-ref.json                                                   | JSON         |         22 |          9 |          1 |         32 |
| c:\repos\hug-moms\tsconfig.json                                                              | JSON         |         23 |         12 |          0 |         35 |
| c:\repos\hug-moms\tsconfig.server-direct-ref.json                                            | JSON         |         26 |          8 |          0 |         34 |
| c:\repos\hug-moms\tsconfig.server.json                                                       | JSON         |         13 |          0 |          0 |         13 |
| c:\repos\hug-moms\tslint.json                                                                | JSON         |        131 |          0 |          1 |        132 |
| c:\repos\hug-moms\upgrade-db.bat                                                             | Batch        |         21 |          0 |          5 |         26 |
| c:\repos\hug-moms\usefulscripts.sql                                                          | PostgreSQL   |         14 |          1 |          3 |         18 |
| Total                                                                                        |              |     77,055 |        638 |      4,870 |     82,563 |
+----------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
